Type,date,visitation,placekey
American,2020-06,39,130
American,2020-06,40,115
American,2020-06,41,109
American,2020-06,42,91
American,2020-06,43,116
American,2020-06,44,76
American,2020-06,46,48
American,2020-06,47,60
American,2020-06,48,58
American,2020-06,49,55
American,2020-06,50,48
American,2020-06,51,35
American,2020-06,52,46
American,2020-06,53,38
American,2020-06,54,31
American,2020-06,55,31
American,2020-06,56,41
American,2020-06,57,36
American,2020-06,58,33
American,2020-06,59,25
American,2020-06,63,20
American,2020-06,66,14
American,2020-06,67,23
American,2020-06,72,12
American,2020-06,76,8
American,2020-06,78,10
American,2020-06,86,5
American,2020-06,169,2
American,2020-06,262,1
American,2020-07,2,666532
American,2020-07,3,181392
American,2020-07,4,72389
American,2020-07,5,85634
American,2020-07,6,49996
American,2020-07,7,31748
American,2020-07,8,20901
American,2020-07,9,14483
American,2020-07,10,10555
American,2020-07,11,8056
American,2020-07,12,6110
American,2020-07,13,4794
American,2020-07,14,3974
American,2020-07,15,3143
American,2020-07,16,2586
American,2020-07,17,2161
American,2020-07,18,1737
American,2020-07,19,1524
American,2020-07,20,1299
